"","ID","Nazwa","prize","base_shop_url","shop_url"
"50",17,"Lodówka LIEBHERR CNef 3515 Comfort Srebrna A++",2142.5,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-liebherr-cnef-3515-comfort-srebrna-a"
"51",17,"Lodówka LIEBHERR CNef 3515 Comfort Srebrna A++",2099,"mediamarkt.pl","https://mediamarkt.pl/agd/lodowka-liebherr-cnef-3515-21"
"52",17,"Lodówka LIEBHERR CNef 3515 Comfort Srebrna A++",2194,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-liebherr-cnef-3515-comfort-srebrna-a"
"53",17,"Lodówka LIEBHERR CNef 3515 Comfort Srebrna A++",2119,"euro.com.pl","https://www.euro.com.pl/lodowki/liebherr-cnef-3515.bhtml"
"54",17,"Lodówka LIEBHERR CNef 3515 Comfort Srebrna A++",2194,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-liebherr-cnef-3515-comfort-srebrna-a"
"55",18,"Lodówka LG GBB62SWGFN Nofrost Bia³a",1999,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb62swgfn-nofrost-biala"
"56",18,"Lodówka LG GBB62SWGFN Nofrost Bia³a",1999,"neonet.pl","https://www.neonet.pl/lodowki-i-zamrazarki/lg-gbb62swgfn.html"
"57",18,"Lodówka LG GBB62SWGFN Nofrost Bia³a",1999,"mediamarkt.pl","https://mediamarkt.pl/agd/lodowka-lg-gbb62swgfn"
"58",18,"Lodówka LG GBB62SWGFN Nofrost Bia³a",1999,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb62swgfn-nofrost-biala"
"59",18,"Lodówka LG GBB62SWGFN Nofrost Bia³a",1999,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb62swgfn-nofrost-biala"
"60",18,"Lodówka LG GBB62SWGFN Nofrost Bia³a",2299,"euro.com.pl","https://www.euro.com.pl/lodowki/lg-gbb62swgfn.bhtml"
"61",19,"Lodówka BOSCH KGN39MLEA Nofrost Srebrna",2399.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-bosch-kgn39mlea-nofrost-srebrna"
"62",19,"Lodówka BOSCH KGN39MLEA Nofrost Srebrna",2399.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-bosch-kgn39mlea-nofrost-srebrna"
"63",19,"Lodówka BOSCH KGN39MLEA Nofrost Srebrna",2399.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-bosch-kgn39mlea-nofrost-srebrna"
"64",20,"Lodówka LG GBB62SWFFN Nofrost Bia³a",2399.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb62swffn-nofrost-biala"
"65",20,"Lodówka LG GBB62SWFFN Nofrost Bia³a",2399.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb62swffn-nofrost-biala"
